time,amplitude
0.0,0.0
0.002,0.22304899501509377
0.004,0.4357787137382909
0.006,0.6282869970977209
0.008,0.7915570094770281
0.01,0.917734164132039
0.012,1.0007886475730728
0.014,1.0371457813589947
0.016,1.0259508544976784
0.018,0.9691888062886071
0.02,0.8715873998592398
0.022,0.7399719364966661
0.024,0.5824982635955685
0.026,0.40798150493863486
0.028,0.2255743457580665
0.03,0.04455823126868652
0.032,-0.12648784852928373
0.034,-0.2796232532468307
0.036,-0.4077651044498305
0.038,-0.5055000305886361
0.04,-0.5694241695663737
0.042,-0.5983794711682705
0.044,-0.5934524451378393
0.046,-0.5578144087134267
0.048,-0.49557421114251767
0.05,-0.41219665675402094
0.052,-0.314275037128695
0.054,-0.20904000329051833
0.056,-0.10375800041177699
0.058,-0.005527181048825838
0.06,0.07897258957819958
0.062,0.1471714488812684
0.064,0.19830495160762354
0.066,0.2329718428590303
0.068,0.2529949605204481
0.07,0.26125012508826723
0.072,0.26154670051662994
0.074,0.2582845942491295
0.076,0.2562479261026027
0.078,0.259972322306775
0.08,0.27357497187126296
0.082,0.30058882084666324
0.084,0.34383184654924734
0.086,0.40497554907923485
0.088,0.4839849206773539
0.09,0.5791986036814674
0.092,0.6879854784260389
0.094,0.8066597793144855
0.096,0.9306069906660604
0.098,1.0546995648873738
0.1,1.1735544766860395
0.102,1.2818047913346452
0.104,1.3742416410427845
0.106,1.4460596395355674
0.108,1.4930669275069792
0.11,1.5118742880795493
0.112,1.5002245229714392
0.114,1.4572239613134608
0.116,1.3833215582377598
0.118,1.2803657375269784
0.12,1.1515286591039868
0.122,1.0012248555239532
0.124,0.8348897587848604
0.126,0.6587425624108849
0.128,0.479532822458428
0.13,0.3039600810140228
0.132,0.13840742111195604
0.134,-0.011666649195322978
0.136,-0.14249129532785002
0.138,-0.2505501861070265
0.14,-0.33276681023773177
0.142,-0.38676239121601666
0.144,-0.41113042458763303
0.146,-0.40540445657805175
0.148,-0.3701633519808381
0.15,-0.30700594348615967
0.152,-0.21855660897530656
0.154,-0.10842273612501064
0.156,0.01867160910609355
0.158,0.15671617462002167
0.16,0.3005882312686866
0.162,0.44498363715104445
0.164,0.584742686153096
0.166,0.7149718428590303
0.168,0.8311029272365287
0.17,0.9292150392305597
0.172,1.0061214041168128
0.174,1.0592817813589947
0.176,1.0869508544976784
0.178,1.088288764047647
0.18,1.0631873998592398
0.182,1.012471936496666
0.184,0.9382482635955685
0.186,0.8437315049386349
0.188,0.7328243457580665
0.19,0.6095582312686865
0.192,0.4785121514707163
0.194,0.34487674675316933
0.196,0.2139848955501695
0.198,0.0907499694113639
0.2,-0.01942416956637371
0.202,-0.1118794711682705
0.204,-0.18345244513783933
0.206,-0.23181440871342674
0.208,-0.25557421114251767
0.21,-0.25469665675402095
0.212,-0.23077503712869502
0.214,-0.18604000329051834
0.216,-0.12450800041177699
0.218,-0.05052718104882584
0.22,0.030222589578199583
0.222,0.11342144888126842
0.224,0.19330495160762356
0.226,0.2642218428590303
0.228,0.3204949605204481
0.23,0.35750012508826724
0.232,0.37279670051662995
0.234,0.3645345942491295
0.236,0.3324979261026027
0.238,0.278722322306775
0.24,0.20607497187126296
0.242,0.11558882084666324
0.244,0.01133184654924734
0.246,-0.10127445092076515
0.248,-0.2160150793226461
0.25,-0.3278013963185326
